Year;CP;Estimation_method;Estimation_method_detailed;Road;RoadCategory;Easting;Northing;Longitute;Latitude;StartJunction;EndJunction;LinkLength_miles;LinkLength_kilometres;Motorcycles;CarsTaxis;BusesCoaches;LightGoodsVehicles;AllHGVs;AllMotorVehicles;;MotorcycleCO2PerKilometer;CarsTaxisCO2PerKilometer;BusesCoachesCO2PerKilometer;LightGoodsVehiclesCO2PerKilometer;AllHGVsCO2PerKilometer;TotalEmissionsPerSection;;Rank;
2000;80032;Counted;Manual count;A90;TU;394000;810990;;;B997 Scotstown Road;A956;0.62;;13.83;2521.57;18.82;361.97;184.16;3100.36;;;;;;;;;;
2000;80033;Estimated;Estimated using previous year's AADF on this link;A90;TU;391050;810000;;;A96;B997 Scotstown Road;2.61;;123.83;14809.48;35.24;1828.92;713.47;17510.95;;;;;;;;;;
2000;80038;Estimated;Estimated using previous year's AADF on this link;A9013;PU;392880;804000;;;A945;B9077;0.81;;23;3051.01;51.3;301.62;30.96;3457.89;;;;;;;;;;
2000;80039;Estimated;Estimated using previous year's AADF on this link;A96;PU;393640;807320;;;B991;A944;0.56;;52.25;2990.57;150.44;608.07;251.48;4052.81;;;;;;;;;;
2000;80040;Estimated;Estimated using previous year's AADF on this link;A96;PU;394240;806750;;;A944;A956;0.5;;11.61;2139.73;74.75;386.29;157.67;2770.05;;;;;;;;;;
2000;80041;Estimated;Estimated using previous year's AADF on this link;A9012;PU;392000;808000;;;A90;A978;0.56;;2.65;1341.28;9.39;183.3;23.88;1560.5;;;;;;;;;;
2000;80333;Estimated;Estimated using previous year's AADF on this link;A978;PU;393050;806000;;;A9013;A944;0.93;;29.6;2202.46;38.78;161.6;41.84;2474.28;;;;;;;;;;
2000;80345;Estimated;Estimated using previous year's AADF on this link;A956;PU;394350;805030;;;Souter Head Rd roundabout;A945;1.93;;144.83;12680.78;127.96;2541.64;1629.74;17124.96;;;;;;;;;;
2000;80355;Estimated;Estimated using previous year's AADF on this link;A944;PR;386000;806180;;;B9119;B9119;2.36;;214.6;16395.68;118.93;1484.09;502.45;18715.76;;;;;;;;;;
2001;1041;Estimated;Estimated using previous year's AADF on this link;A956;PU;394400;809000;;;A978;B997 Balgownie Road;0.81;;66.63;5628.21;294.55;995.68;587.03;7572.1;;;;;;;;;;
