,,http://www.scottishairquality.scot/data/emissions,,,,,
,,,,,,,
Year,Local Authority Area,Registered Company Name (Site Name),Site Company Name,Industry Sector,Pollutant Name,Total Emission,Return Availability
2018,Aberdeenshire,John Rennie & Sons (Farmers) Limited. Biogask Gask Turriff AB53 8BP,Biogask Gask Turriff AB53 8BP,5(e),Methane,-,Not Yet Submitted
2018,Aberdeenshire,D W Argo A firm. Brigstanes Farm Stonehaven,Roadside of Catterline Stonehaven Aberdeenshire AB39 2UA,7(a).ii,Methane,-,Not Yet Agreed
2018,Aberdeenshire,R & H Hay. Luncarty Poultry Farm Turriff Aberdeen,Luncarty Turriff Aberdeenshire AB53 4NU,7(a).i,Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeen & Northern Eggs Limited. West Cockmuir Farm Fraserburgh,Cockmuir Strichen Fraserburgh Aberdeenshire AB43 6RQ,7(a).i,Methane,-,Not Yet Submitted
2018,Aberdeenshire,Pitmillan Farms Limited. Messrs GTG Shepherd Pitmillan Farm Ellon,Pitmillan Newburgh Ellon Aberdeenshire AB41 6AL,7(a).ii,Methane,-,Not Yet Agreed
2018,Aberdeenshire,Messrs J M Gilbert. Messrs JM Womblehill Kintore Inverurie,Kintore Inverurie Aberdeenshire AB51 0XJ,7(a).ii,Methane,-,Not Yet Submitted
2018,Aberdeenshire,John I Forbes. Crowhillock Piggery Kinneff,Kinneff Inverbervie Montrose Angus DD10 0TL,7(a).ii,Methane,-,Not Yet Submitted
2018,Aberdeenshire,John I Forbes. Crowhillock Piggery Kinneff,Kinneff Inverbervie Montrose Angus DD10 0TL,7(a).ii,Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Rattlerow Scotland Limited. Mosstown Kirktown of Alvah Banff,Mosstown Farm Kirktown of Alvah Banff Aberdeenshire AB45 3BX,7(a).ii,Methane,-,Not Yet Agreed
2018,Aberdeenshire,Duncan Farms Limited. Newton of Fortrie Fortrie Turriff Aberdeen,Fortrie Turriff Aberdeenshire AB35 4HG,7(a).i,Methane,-,Not Yet Agreed
2018,Aberdeenshire,D W Argo A firm. D W Argo Ellismoss Farm Kinellar Aberdeen,Muir of Kinellar Kintore Aberdeen AB21 0SE,7(a).ii,Methane,-,Not Yet Agreed
2018,Aberdeenshire,Carden Livestock Co. Carden Livestock Mill of Carden Inverurie,Mill of Carden Pitcaple Inverurie Aberdeenshire AB51 5HP,7(a).ii,Methane,-,Not Yet Submitted
2018,Aberdeenshire,2 Sisters Red Meat Limited. McIntosh Donald Portlethen Aberdeen,COOKSTON ROAD Portlethen Aberdeen Aberdeenshire AB12 4QB,8(a),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,PX Limited. PX Ltd St Fergus N.Sea Terminal Aberdeen,St Fergus Peterhead Aberdeenshire AB42 3EP,1(a),Carbon dioxide,-,Not Yet Agreed
2018,Aberdeenshire,PX Limited. PX Ltd St Fergus N.Sea Terminal Aberdeen,St Fergus Peterhead Aberdeenshire AB42 3EP,1(a),Methane,-,Not Yet Agreed
2018,Aberdeenshire,Total Waste Management Alliance Plc. TWMA - Dales Ind Est Peterhead,Unit 12 Dales Industrial Estate Peterhead Aberdeenshire AB42 3JF,5(a),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Total Waste Management Alliance Plc. TWMA - Dales Ind Est Peterhead,Unit 12 Dales Industrial Estate Peterhead Aberdeenshire AB42 3JF,5(a),Nitrous oxide,-,Not Yet Submitted
2018,Aberdeenshire,Shell UK Limited. Shell UK Ltd St Fergus Gas Plant,St Fergus Gas Plant Peterhead Aberdeenshire AB42 6WJ,1(a),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Shell UK Limited. Shell UK Ltd St Fergus Gas Plant,St Fergus Gas Plant Peterhead Aberdeenshire AB42 6WJ,1(a),Nitrous oxide,-,Not Yet Submitted
